data,preco,volume,symbol
2025-02-07,96506.8,31794.22065,BTCUSDT
2025-02-08,96444.74,10147.24294,BTCUSDT
2025-02-09,96462.75,14120.91613,BTCUSDT
2025-02-10,97430.82,20572.87537,BTCUSDT
2025-02-11,95778.2,18647.76379,BTCUSDT
2025-02-12,97869.99,29151.16625,BTCUSDT
2025-02-13,96608.14,19921.77616,BTCUSDT
2025-02-14,97500.48,18173.02646,BTCUSDT
2025-02-15,97569.66,7349.37683,BTCUSDT
2025-02-16,96118.12,8191.4249,BTCUSDT
2025-02-17,95780.0,16492.0451,BTCUSDT
2025-02-18,95671.74,23368.19471,BTCUSDT
2025-02-19,96644.37,16438.50954,BTCUSDT
2025-02-20,98305.0,17057.39177,BTCUSDT
2025-02-21,96181.98,32249.2814,BTCUSDT
2025-02-22,96551.01,11268.17708,BTCUSDT
2025-02-23,96258.0,10884.84913,BTCUSDT
2025-02-24,91552.88,31550.10299,BTCUSDT
2025-02-25,88680.4,78333.11111,BTCUSDT
2025-02-26,84250.09,56893.54409,BTCUSDT
2025-02-27,84708.58,42505.45439,BTCUSDT
2025-02-28,84349.94,83648.03969,BTCUSDT
2025-03-01,86064.53,25785.05464,BTCUSDT
2025-03-02,94270.0,54889.09045,BTCUSDT
2025-03-03,86220.61,59171.10218,BTCUSDT
2025-03-04,87281.98,55609.10706,BTCUSDT
2025-03-05,90606.01,38264.01163,BTCUSDT
2025-03-06,89931.89,34342.44902,BTCUSDT
2025-03-07,86801.75,57980.35713,BTCUSDT
2025-03-08,86222.45,12989.23054,BTCUSDT
2025-03-09,80734.37,26115.39345,BTCUSDT
2025-03-10,78595.86,47633.38405,BTCUSDT
2025-03-11,82932.99,48770.06853,BTCUSDT
2025-03-12,83680.12,31933.986,BTCUSDT
2025-03-13,81115.78,27546.27412,BTCUSDT
2025-03-14,83983.2,26858.52755,BTCUSDT
2025-03-15,84338.44,11324.7332,BTCUSDT
2025-03-16,82574.53,17596.12531,BTCUSDT
2025-03-17,84010.03,17214.74358,BTCUSDT
2025-03-18,82715.03,17610.89883,BTCUSDT
2025-03-19,86845.94,28151.05374,BTCUSDT
2025-03-20,84223.39,22090.30463,BTCUSDT
2025-03-21,84088.79,11956.97443,BTCUSDT
2025-03-22,83840.59,5420.22114,BTCUSDT
2025-03-23,86082.5,8461.97813,BTCUSDT
2025-03-24,87498.16,30115.62111,BTCUSDT
2025-03-25,87392.87,22643.25248,BTCUSDT
2025-03-26,86909.17,18408.78485,BTCUSDT
2025-03-27,87232.01,17098.03897,BTCUSDT
2025-03-28,84424.38,27182.73169,BTCUSDT
2025-03-29,82648.54,11696.39864,BTCUSDT
